Time,Particles > 2.5um / 0.1L air,Temperature,Gas,Pressure,Altitude,Humidity
1,0,34.41515625,29063,703.9709521027954,2968.190806379079,100
2,0,29.3274609375,12115,1003.8476551349281,78.5766891902949,19.835053552282204
3,0,29.3727734375,24604,1003.8544550830761,78.51964615409003,19.873782914415816
4,0,29.424140625,37133,1003.8590359354776,78.48121872429586,19.892351104445073
5,0,29.4751171875,50002,1003.8664473253463,78.41904704499836,19.900624502025835
6,2,29.531953125,60175,1003.8887440324638,78.23200964164916,19.847596265638813
7,2,29.5784375,68787,1003.8695473001975,78.39304249946599,19.732329094233886
8,2,29.61125,76524,1003.8556815230004,78.5093578946771,19.559909682111883
9,2,29.6364453125,82987,1003.8431934814339,78.61411703711791,19.52042951186045
10,2,29.6587109375,88377,1003.8223824354751,78.78869818301426,19.537155102700776
11,2,29.6825390625,95971,1003.805888358301,78.9270669235279,19.595003148707526
12,2,29.7067578125,100269,1003.7882910925773,79.0746923376776,19.709367532007644
13,2,29.733125,103557,1003.7777204254552,79.16337184418107,19.94737587432534
14,2,29.7583203125,107719,1003.7669570842196,79.25366851052257,20.082755921329532
15,2,29.76203125,111033,1003.7469195160417,79.42177133712384,20.242735163716723
16,2,29.767109375,114113,1003.7308799801336,79.55633509927411,20.32042502503743
17,2,29.7825390625,116212,1003.7197024043353,79.65011045360022,20.47628798129849
18,2,29.7993359375,118232,1003.7160093186135,79.68109413965203,20.565212130496697
19,2,29.81671875,121564,1003.7045611379278,79.7771409225462,20.57148596276072
20,2,29.8346875,122830,1003.6766370776081,80.01141908660865,20.598483966521435
21,2,29.855390625,125177,1003.6601944393765,80.14937252144946,20.698111017544377
22,2,29.857734375,126339,1003.6570823630885,80.1754829906937,20.79146853629333
23,2,29.855390625,127985,1003.6322895698718,80.38349805576195,20.894962647211607
24,2,29.8659375,129579,1003.6200285024091,80.48637169512416,20.880089230969645
25,2,29.8719921875,130631,1003.5968725987613,80.68065870330747,20.921957161580092
26,2,29.872578125,132989,1003.5838857881755,80.78962466727245,20.89606936145194
27,2,29.8657421875,134200,1003.572616375949,80.88418170838314,20.760904292130316
28,2,29.856953125,136162,1003.5598712305505,80.99112206057514,20.579212257406493
29,2,29.84875,136583,1003.5463480025599,81.10459225210289,20.470140873478115
30,2,29.84171875,137860,1003.5330126895278,81.21648690628096,20.330272003565852
31,2,29.831171875,139053,1003.5103938841295,81.40628073509873,20.205810071147184
32,2,29.8141796875,140600,1003.491101685013,81.56816383117939,20.10683179450307
33,2,29.7971875,140936,1003.4683214347781,81.75931881619508,20.018234286685722
34,2,29.77375,143567,1003.4453788405527,81.95183962309825,19.913878566435255
35,2,29.7485546875,144861,1003.4230251383071,82.13942222167394,19.773549566174143
36,0,29.724921875,145816,1003.4137083445077,82.21760572362311,19.607838340997127
37,0,29.7032421875,145696,1003.3797115597308,82.50290066494595,19.452730036645097
38,0,29.6841015625,147519,1003.3655929437218,82.62138386713973,19.313334210930797
39,0,29.6653515625,147765,1003.3521175019085,82.73447082075589,19.194577570733742
40,0,29.64640625,148510,1003.3452931739348,82.79174157989235,19.127013041845597
41,0,29.631171875,149514,1003.3376119173199,82.85620418689605,19.044394532466182
42,0,29.6223828125,150021,1003.3213785658122,82.99243896057632,18.997935616142833
43,0,29.605,150404,1003.3031810560636,83.14515961498468,18.97649786887581
44,0,29.595234375,149767,1003.2853378255619,83.2949091965033,18.960616149222773
45,2,29.5940625,151305,1003.265972532002,83.45743515546269,19.006468414776418
46,2,29.597578125,151694,1003.2525916367938,83.56973769072701,19.037300343524443
47,2,29.6012890625,152610,1003.2325591354135,83.7378677741039,19.052835105725254
48,2,29.60890625,151824,1003.2119923006883,83.9104852732913,19.0686036892021
49,2,29.6255078125,151434,1003.199261252803,84.01733842827454,19.120661909443864
50,2,29.6380078125,152478,1003.1884846385854,84.10778865386786,19.172501812636337
51,4,29.64171875,152478,1003.1736802596528,84.23204597728764,19.259637293148987
52,4,29.6575390625,152742,1003.1683749038997,84.27657568426058,19.37315731018222
53,4,29.67296875,153537,1003.1554501706253,84.38505829061285,19.394565238302047
54,4,29.6926953125,153404,1003.1339136538286,84.5658256548375,19.421359062580844
55,4,29.701484375,154611,1003.1187583665268,84.69303387212662,19.391161769981746
56,4,29.710859375,154882,1003.1132861874497,84.73896582487295,19.330293185742967
57,4,29.722578125,155974,1003.1012141960755,84.84029548820723,19.244016253712598
58,4,29.7284375,155154,1003.0916904497285,84.92023643517807,19.162557346772612
59,4,29.7409375,156112,1003.0826480509296,84.99613758932314,19.091761242159063
60,4,29.76046875,156943,1003.0694980778198,85.1065183741368,18.99078676437413
61,4,29.800703125,156527,1003.0503533201183,85.26722143470009,18.942125185888234
62,4,29.83390625,156112,1003.0405408049509,85.34958965654728,18.81656311286434
63,4,29.8618359375,156112,1003.0168012972781,85.54886654754408,18.84369797763849
64,4,29.8911328125,157362,1003.0040293710471,85.65607969176064,18.87092300092447
65,4,29.9091015625,156943,1002.9917749224178,85.75894994142689,18.841376004222067
66,4,29.93546875,157222,1002.9776566461317,85.87746739667902,18.853127467081578
67,4,29.9618359375,157222,1002.967022706506,85.96673608856011,18.86488166043661
68,4,29.9852734375,156943,1002.9585360654758,86.03797941107926,18.87646600494225
69,4,30.0079296875,156527,1002.9400373260356,86.19327359771039,18.852289380274048
70,4,30.023359375,157783,1002.9235871608179,86.33137225440379,18.766494815193795
71,4,30.0290234375,156943,1002.9154723300925,86.39949669693304,18.756630394410212
72,4,30.0333203125,155974,1002.8981273089053,86.54511058379629,18.869091017486635
73,4,29.992890625,155837,1002.8733991041527,86.75271085865252,19.030088044581166
74,4,29.9485546875,156388,1002.8561862005757,86.8972205006521,19.150119166168416
75,2,29.9305859375,155700,1002.8544946050122,86.9114222728178,19.34350163590612
76,2,29.9216015625,157222,1002.8396948544023,87.03567424537502,19.496690341678956
77,2,29.9106640625,158775,1002.8303985893398,87.11372221645865,19.455015680612448
78,2,29.8770703125,158065,1002.8221502221164,87.18297291897042,19.350523515620836
79,2,29.8497265625,159060,1002.8172178709682,87.22438361157852,19.328397917193367
80,2,29.8290234375,158348,1002.8022953536647,87.34967005444868,19.27085327921324
81,0,29.808515625,160504,1002.7964130024451,87.39905750263242,19.29521076516496
82,0,29.784296875,158775,1002.7913907690895,87.44122369984058,19.232363416886045
83,0,29.756953125,159779,1002.7777303582299,87.55591608510208,19.220499516104077
84,0,29.7425,160649,1002.7643811196097,87.66799710009178,19.234978492114596
85,0,29.73625,160649,1002.754084231462,87.75445122122173,19.183470643947853
86,0,29.701484375,161235,1002.7334235160291,87.92792366208181,19.201846147575544
87,0,29.6633984375,162122,1002.7264674516878,87.98632913786557,19.08204937889959
88,0,29.6430859375,161677,1002.7086915801611,88.13558287533945,19.137033852175676
89,0,29.6176953125,161530,1002.6912649463775,88.28190634468993,19.1457419247785
90,0,29.5801953125,161382,1002.6800336194003,88.37621174899462,19.102646737289685
91,0,29.547578125,161530,1002.6698702358312,88.46155075464551,19.167115810682823
92,0,29.5253125,162420,1002.6593291723397,88.55006176979965,19.181118829324163
93,2,29.5063671875,162271,1002.642056387959,88.69509920848851,19.30268050415892
94,2,29.496015625,160942,1002.614541257732,88.92614453951383,19.34809957784288
95,2,29.47609375,162122,1002.5747432938246,89.26033825778701,19.23440090869774
96,6,29.4473828125,161382,1002.5448648317672,89.51124243221345,19.334950718798222
97,6,29.4458203125,161677,1002.5283471517298,89.64995213264486,19.406491653301252
98,6,29.44640625,160795,1002.51014083503,89.80284455715046,19.45772006367534
99,6,29.4446484375,162420,1002.4967872336118,89.91498643360009,19.472976101555872
100,6,29.4528515625,161825,1002.4963599786075,89.91857448771782,19.458108678079277
101,6,29.4704296875,161382,1002.4782628691105,90.07055373515334,19.387499448444192
102,6,29.497578125,161235,1002.4602434919616,90.22188239472268,19.389131533895544
103,6,29.520625,162569,1002.4459208370671,90.34216715589257,19.339343526918782
104,6,29.53625,162868,1002.4280839101136,90.49196748136181,19.284011946368018
105,6,29.558515625,162420,1002.4316433352543,90.46207409667183,19.28534472290375
106,6,29.5784375,161973,1002.4208805217932,90.55246449580684,19.286537447658784
107,6,29.6063671875,162569,1002.4180760045942,90.57601807860885,19.318904960857736
108,8,29.6216015625,160504,1002.3856398618311,90.84843510943381,19.309585790284874
109,8,29.6508984375,161235,1002.3728761266945,90.95563411670923,19.444447798849996
110,8,29.68234375,160504,1002.3601588208909,91.06244427636781,19.52320893408371
111,10,29.7087109375,162420,1002.3547649398535,91.10774675773341,19.509428546240827
112,10,29.738203125,161382,1002.3423083308087,91.21236889600245,19.48558710999024
113,10,29.7661328125,161235,1002.3359922941673,91.26541722294411,19.359210552289316
114,10,29.79875,162569,1002.3216968107176,91.38548584134266,19.325334892392718
115,10,29.825703125,161382,1002.3207392566324,91.39352844478016,19.22460979952833
116,10,29.8528515625,161825,1002.3253318531769,91.3549547713906,19.20577341202741
117,10,29.872578125,161825,1002.3229331631918,91.37510158837098,19.196723076643835
118,10,29.8829296875,162420,1002.3295132522887,91.31983491043185,19.095091450695886
119,10,29.915546875,162718,1002.3274067181316,91.33752782199687,19.020392768521315
120,10,29.9567578125,162122,1002.3272342950364,91.33897601564287,18.971764343212627
121,10,30.0067578125,163169,1002.3153581188078,91.43872533658718,18.933875216314288
122,10,30.0579296875,162718,1002.3141205551909,91.4491198256841,18.896058893761005
123,8,30.1200390625,162718,1002.3151728354619,91.44028155953656,18.909934261987306
124,8,30.1731640625,161235,1002.3206134167152,91.39458538872964,18.928391801705143
125,8,30.224921875,161530,1002.3255369875627,91.35323183069559,18.931452731820265
126,4,30.277265625,160795,1002.3209430413684,91.39181683355783,18.93454984088589
127,4,30.3317578125,161825,1002.3094001517094,91.48876732332866,18.886695389163716
128,4,30.3762890625,161382,1002.3111224989483,91.47430100894262,18.843366670863904
129,4,30.426875,160649,1002.3053439166266,91.52283647475406,18.89742509639171
130,4,30.48078125,161530,1002.3085072256373,91.49626718318987,18.98750263778579
131,4,30.5231640625,162420,1002.282224838945,91.71702048729333,18.88779340056325
132,4,30.54953125,162122,1002.2924337688183,91.63127220046394,18.623938966207884
133,4,30.602265625,161235,1002.3076068491931,91.5038296256552,18.570940715587977
134,4,30.6911328125,161973,1002.312360825322,91.46390008814647,18.586320616128944
135,4,30.8063671875,161235,1002.3202785368385,91.39739808387651,18.455418919104115
136,4,30.927265625,161382,1002.3217323758929,91.38518712559241,18.355464871989806
137,4,31.052265625,160504,1002.3298650337873,91.3168802786522,18.250686810719863
138,2,31.17375,160068,1002.3356459043654,91.26832655516613,18.24750375462112
139,2,31.288203125,160358,1002.3385438435929,91.2439867529164,18.147216140443426
140,2,31.4075390625,160068,1002.3476610189173,91.1674119353842,18.0930106236973
141,0,31.5378125,159634,1002.3519614225712,91.13129320027566,18.03942722187323
142,0,31.6536328125,158632,1002.3604204673217,91.06024674820739,17.94942308883671
143,0,31.776484375,157924,1002.3611334432971,91.05425857491856,17.875083238365708
144,0,31.88390625,158065,1002.3661736992832,91.01192635453313,17.825279041220295
145,0,31.9766796875,157924,1002.3698499676626,90.98105013399851,17.744166005815615
146,0,32.0536328125,157502,1002.3720050258711,90.96295028683942,17.6774132224767
147,0,32.131953125,156527,1002.3728789687067,90.95561024733117,17.651359845180053
148,0,32.2044140625,156804,1002.3746059151232,90.94110604739754,17.670673796392165
149,0,32.275703125,155837,1002.3673837163903,91.00176366007707,17.649296524205127
150,0,32.3450390625,154611,1002.3674344083153,91.00133790883953,17.698928132544502
151,0,32.3993359375,155018,1002.37428952536,90.9437633260066,17.72232692892022
152,0,32.452265625,153804,1002.3788882144427,90.90514015167534,17.664329480551988
153,0,32.4923046875,154207,1002.3833282497519,90.86784960459192,17.590382682448485
154,0,32.5114453125,154611,1002.3814764725518,90.88340211889903,17.464547345095912
155,0,32.5309765625,155426,1002.380264104143,90.893584445564,17.36926901170012
156,0,32.560859375,155426,1002.3627673534615,91.04053563296364,17.294897070249096
157,0,32.58625,155563,1002.3519026284239,91.13178700661769,17.25070320296331
158,0,32.5954296875,155563,1002.3529581824514,91.12292151427748,17.215754396025716
159,0,32.6016796875,154476,1002.3527078395165,91.12502411877999,17.19077928030806
160,0,32.6204296875,155700,1002.3361933582386,91.26372848369937,17.110819890447935
161,0,32.6380078125,155974,1002.3300131625235,91.31563613765887,17.076365756496152
162,0,32.651875,155290,1002.3212443324279,91.38928625613019,17.031600262151652
163,0,32.666328125,154476,1002.3169387876874,91.42544906819737,16.991936190367866
164,0,32.6946484375,153938,1002.3161206706668,91.43232055022214,17.02888150319848
165,0,32.7169140625,154072,1002.3193767844227,91.40497201138687,16.99469719672813
166,0,32.7149609375,156250,1002.3284332471492,91.3289059370928,16.93898012484801
167,0,32.724140625,156250,1002.3312350083121,91.30537379673994,16.87378967404975
168,0,32.7469921875,155426,1002.3319468586047,91.29939493692542,16.869977483638905
169,0,32.774921875,153804,1002.3287262677185,91.32644483932233,17.05351057035983
170,0,32.795625,154072,1002.3329151295532,91.29126239502123,17.24708409431247
171,0,32.805390625,155426,1002.33141974602,91.30382217681809,17.28817825543851
172,0,32.8126171875,154341,1002.3275098359725,91.33666172812822,17.27843923381641
173,0,32.82375,155290,1002.3317605937439,91.30095938280208,17.360201943389974
174,0,32.834296875,155974,1002.3297937455867,91.31747903203056,17.315136895143993
175,0,32.839765625,154882,1002.3247506553485,91.35983630162417,17.279944640385803
176,0,32.850703125,154072,1002.3269277477639,91.34155072814362,17.275481058266333
177,2,32.86046875,155974,1002.3236777102059,91.36884806559826,17.2861634370585
178,2,32.872578125,155154,1002.3172641473604,91.42271632697033,17.256414231928126
179,2,32.899921875,154207,1002.3218258606075,91.38440193741575,17.32892933629232
180,2,32.921015625,153404,1002.3161314062748,91.43223038028681,17.37069522349654
181,2,32.9364453125,154072,1002.3151606940473,91.44038353712904,17.407086617937264
182,2,32.94640625,153804,1002.315731175208,91.43559197996112,17.417796995267942
183,2,32.9536328125,155018,1002.3135679245312,91.45376145981018,17.357288597206256
184,2,32.9565625,154341,1002.3113648062575,91.47226582645709,17.306714441352337
185,2,32.960859375,155154,1002.3131566751058,91.4572156114685,17.21567815362616
186,4,32.9778515625,155563,1002.3094891855792,91.48801951082481,17.125407184127482
187,4,32.98703125,154882,1002.3017668085172,91.5528814329753,17.04489167422105
188,4,32.9954296875,154476,1002.3032765911769,91.5402004086873,16.97450158322435
189,4,33.0067578125,154611,1002.3060869195677,91.51659583211823,16.91947943361453
190,4,33.02375,154476,1002.3094252848147,91.48855622556096,16.8951209998442
191,4,33.033125,154746,1002.3142881724565,91.44771198161867,16.840023095985085
192,4,33.0454296875,154072,1002.3151937271583,91.44010608699419,16.886187901775738
193,4,33.0378125,154207,1002.3237294836861,91.36841321524258,16.809956154126596
194,4,33.029609375,154476,1002.3242937835379,91.36367360861425,16.804459136975233
195,4,33.0079296875,154882,1002.3255332753907,91.35326300953375,16.823496034265165
196,4,33.0098828125,155700,1002.330489498696,91.31163536627552,16.808443437763664
197,4,33.0130078125,154746,1002.3286059023762,91.32745579516006,16.75809780424658
198,4,33.02140625,156250,1002.3318675556419,91.30006100559054,16.67776969977711
199,4,33.015546875,156665,1002.3327708381654,91.29247430307889,16.576555379358794
200,4,33.0098828125,156250,1002.330489498696,91.31163536627552,16.49055611753779
201,4,32.994453125,156943,1002.3209508139533,91.39175155073715,16.424246557369944
202,4,33.0020703125,157643,1002.3229314493173,91.37511598337719,16.38436696264817
203,4,33.036640625,157783,1002.3200547863784,91.39927739051417,16.386196728985432
204,4,33.08078125,157502,1002.3188489213618,91.40940559958196,16.413715301757648
205,4,33.1188671875,156943,1002.3129619409791,91.45885121587472,16.39055121311697
206,4,33.1536328125,158207,1002.317397563578,91.42159574577782,16.201146842817217
207,2,33.1958203125,156943,1002.3252353934431,91.35576494477962,16.173186834532345
208,2,33.2221875,157222,1002.3123815062573,91.46372638542802,16.13434644765508
209,2,33.2450390625,157502,1002.323560215676,91.36983491332988,16.11543392797899
210,2,33.2528515625,157222,1002.322347187405,91.3800232586374,16.060563987699375
211,2,33.2704296875,157222,1002.3213698762369,91.38823179976856,16.041383397548838
212,2,33.2997265625,156804,1002.32207540256,91.38230600799636,16.012767403400776
213,2,33.32765625,157502,1002.3135222749505,91.45414487809911,15.9388956266434
214,2,33.3462109375,157083,1002.3088799619965,91.4931364973097,16.000112853046282
215,2,33.359296875,157083,1002.3128027876395,91.46018797150919,15.965636985216195
216,0,33.36125,157783,1002.310745111267,91.47747075645515,15.930593149034626
217,0,33.3587109375,156804,1002.3118420697555,91.468257206032,15.925442016673284
218,0,33.366328125,157783,1002.3067977115173,91.51062574008861,15.925835804568383
219,0,33.360078125,157502,1002.3158370990377,91.43470231000843,15.95563500229367
220,0,33.3503125,157783,1002.3173584027256,91.42192466315915,15.960150298688088
221,0,33.314765625,157222,1002.3204374089202,91.39606369863633,15.953289003658885
222,0,33.2919140625,157502,1002.3180306568371,91.41627830990987,16.032453613137104
223,0,33.2895703125,157362,1002.3212001115375,91.38965767231376,16.147925224254678
224,0,33.299140625,155837,1002.3211146061618,91.39037584152447,16.25406860394647
225,0,33.3169140625,156250,1002.3239602605423,91.3664748988302,16.325488150600552
226,0,33.3399609375,155563,1002.319671785882,91.40249425787452,16.392197258817696
227,0,33.3442578125,156112,1002.3249639577099,91.35804475659174,16.412583726139225
228,0,33.353046875,155837,1002.3235951601126,91.36954141167534,16.44833699745751
229,0,33.3721875,155426,1002.3339386332914,91.28266595787802,16.479611246076566
230,0,33.388203125,155154,1002.332143559359,91.29774283982562,16.652064688255766
231,2,33.4180859375,155290,1002.3425623614107,91.21023530124344,16.704194805028056
232,2,33.460078125,155563,1002.3167156367267,91.42732334462576,16.72162476487118
233,2,33.5137890625,155837,1002.2995457181889,91.5715369279635,16.71947364708422
234,2,33.558125,156527,1002.305578305597,91.52086779062074,16.5702960844826
235,2,33.6034375,156527,1002.3149575719403,91.44208959082019,16.396107136256326
236,2,33.6610546875,156527,1002.3427429264146,91.20871874191913,16.424390297340594
237,2,33.70890625,156665,1002.3685467620297,90.99199547905941,16.406760028992316
238,2,33.758125,156112,1002.3369344196242,91.25750430372541,16.358939699986482
239,2,33.8106640625,155563,1002.3440841596199,91.19745377678369,16.361729908398853
240,2,33.8555859375,155700,1002.3545326660087,91.10969759894674,16.18265506197694
241,2,33.8794140625,156527,1002.3637491476359,91.03228971435341,16.26453016979459
242,2,33.9110546875,156665,1002.3594430437277,91.06845598113112,16.165425237609973
243,2,33.9430859375,155426,1002.3540171359532,91.1140274776908,16.051309027615854
244,2,33.97140625,156665,1002.3898907730432,90.81273315185246,16.15852431895821
245,2,33.9958203125,156388,1002.4105881591983,90.63890459602283,16.205154994211128
246,4,34.0231640625,155426,1002.3939613804985,90.77854561910418,16.151170606565444
247,4,34.0348828125,155426,1002.4359788755932,90.42566272213205,16.26266842500241
248,4,34.0313671875,154746,1002.4547909030922,90.26767425420883,15.990503763984522
249,4,34.006171875,155426,1002.4644062240692,90.18692312892735,16.004283832249733
250,4,33.9610546875,155563,1002.4834927738515,90.02663284728278,15.946609192154353
251,4,33.9114453125,156388,1002.5004702155959,89.88405709022092,15.944032574174686
252,4,33.8680859375,156665,1002.5171490194829,89.74399118359324,16.203462320084622
