Time,Latitude,Longitude,counts
1744842410.58,0,0,20.2
1744842415.52,0,0,16.2
1744842420.54,0,0,18.0
1744842425.52,0,0,16.4
1744842430.53,0,0,16.4
1744842435.49,0,0,14.4
1744842440.52,0,0,16.2
1744842445.54,0,0,14.4
1744842450.52,0,0,15.4
1744842455.52,0,0,14.6
1744842460.52,0,0,13.6
1744842465.52,0,0,16.6
1744842470.52,0,0,14.2
1744842475.54,0,0,10.8
1744842480.54,0,0,14.6
1744842485.53,0,0,15.0
1744842490.52,0,0,12.6
1744842495.57,0,0,14.8
1744842500.55,0,0,16.0
1744842505.52,0,0,14.2
1744842510.53,0,0,19.2
1744842515.51,0,0,14.8
1744842520.52,0,0,15.8
1744842525.52,0,0,18.0
1744842530.52,0,0,18.4
1744842535.52,0,0,14.4
1744842540.52,0,0,14.2
1744842545.52,0,0,17.6
1744842550.52,0,0,14.2
1744842555.52,0,0,17.8
1744842560.51,0,0,18.6
1744842565.51,0,0,20.2
1744842570.53,0,0,18.0
1744842575.52,0,0,18.6
1744842580.52,0,0,17.4
1744842585.51,0,0,17.8
1744842590.51,0,0,16.8
1744842595.51,0,0,16.0
1744842600.51,0,0,17.0
1744842605.51,0,0,20.2
1744842610.51,0,0,16.6
1744842615.51,0,0,17.8
1744842620.52,0,0,14.2
1744842625.51,0,0,14.8
1744842630.53,0,0,15.0
1744842635.5,0,0,18.4
1744842640.52,0,0,19.2
1744842645.52,0,0,15.2
1744842650.53,0,0,15.0
1744842655.54,0,0,11.6
1744842660.57,0,0,15.0
1744842665.52,0,0,16.8
1744842670.51,0,0,13.6
1744842675.51,0,0,15.4
1744842680.52,0,0,12.0
1744842685.52,0,0,13.0
1744842690.52,0,0,13.0
1744842695.52,0,0,15.0
1744842700.52,0,0,11.2
1744842705.53,0,0,12.8
1744842710.53,0,0,14.8
1744842715.53,0,0,12.2
1744842720.54,0,0,14.6
1744842725.51,0,0,13.2
1744842730.51,0,0,13.0
1744842735.51,0,0,14.6
1744842740.51,0,0,13.2
1744842745.51,0,0,16.8
1744842750.51,0,0,17.0
1744842755.51,0,0,18.0
1744842760.51,0,0,17.2
1744842765.51,0,0,16.2
1744842770.51,0,0,14.0
1744842775.52,0,0,17.6
1744842780.53,0,0,15.8
1744842785.52,0,0,19.0
1744842790.52,0,0,14.8
1744842795.55,0,0,14.4
1744842800.51,0,0,14.6
1744842805.55,0,0,12.2
1744842810.54,0,0,16.2
1744842815.52,0,0,15.2
1744842820.51,0,0,16.4
1744842825.51,0,0,15.8
1744842830.51,0,0,16.2
1744842835.51,0,0,16.0
1744842840.56,0,0,16.2
1744842845.54,0,0,17.8
1744842850.52,0,0,17.0
1744842855.52,0,0,17.8
1744842860.52,0,0,16.8
1744842865.52,0,0,17.2
1744842870.52,0,0,18.2
1744842875.52,0,0,16.2
1744842880.52,0,0,14.8
1744842885.51,0,0,15.8
1744842890.52,0,0,17.8
1744842895.51,0,0,15.6
1744842900.51,0,0,16.6
1744842905.51,0,0,17.0
1744842910.52,0,0,16.2
1744842915.53,0,0,16.2
1744842920.52,0,0,19.6
1744842925.52,0,0,15.8
1744842930.51,0,0,14.8
1744842935.52,0,0,18.4
1744842940.52,0,0,9.6
1744842945.52,0,0,11.2
1744842950.52,0,0,9.4
1744842955.53,0,0,10.8
1744842960.51,0,0,10.0
1744842965.52,0,0,10.0
1744842970.49,0,0,10.2
1744842975.53,0,0,12.0
1744842980.56,0,0,14.2
1744842985.52,0,0,17.0
1744842990.53,0,0,8.8
1744842995.51,0,0,18.8
1744843000.51,0,0,18.4
1744843005.51,0,0,16.4
1744843010.51,0,0,15.8
1744843015.51,0,0,11.4
1744843020.51,0,0,18.8
