Time,Particles > 2.5um / 0.1L air,Temperature,Gas,Pressure,Altitude,Humidity
1,0,33.41359375,41160,647.0894081200802,3626.0679569594226,100
2,0,23.5040234375,18503,1009.8518266624238,28.330608142557956,56.511210901354325
3,0,23.5360546875,34166,1009.8553937734697,28.300828654124683,56.08300291668436
4,0,23.545234375,46203,1009.8574344057192,28.283792781934583,55.556052248521695
5,0,23.5325390625,54817,1009.8664414758767,28.208599117609403,54.98906500803746
6,0,23.5083203125,61534,1009.8659901259084,28.212367106647022,54.44140260778277
7,0,23.4657421875,67060,1009.8614497395329,28.2502715300913,53.93752603532899
8,0,23.405,71796,1009.8667857234154,28.205725248927685,53.483514167023735
9,0,23.3446484375,75254,1009.869361872799,28.184218903845444,53.13228429118417
10,0,23.2809765625,78988,1009.8747704986768,28.139066474807663,52.84471179203021
11,0,23.2063671875,81822,1009.8751020338814,28.136298750493662,52.65748342160112
12,0,23.124921875,84612,1009.8722453179405,28.160147228919953,52.48856351893204
13,0,23.044453125,86967,1009.8676208041533,28.198753779352188,52.3073260468625
14,0,22.9575390625,89078,1009.8758043879014,28.130435356602458,52.13809319163209
15,0,22.86515625,90512,1009.8865270948062,28.04092043337345,51.97465470761865
16,0,22.7727734375,92496,1009.8886913278043,28.022853153199968,51.84290885425991
17,0,22.6721875,93729,1009.8818971637718,28.07957176577144,51.84249552223636
18,0,22.5630078125,94253,1009.8859047937408,28.046115484117763,52.12467531652522
19,1,22.46125,93646,1009.888932961921,28.02083596416706,52.35133699424673
20,1,22.3520703125,96099,1009.8945376858143,27.97404720253513,52.76705275612455
21,1,22.2462109375,97600,1009.8870456523427,28.03659144915819,52.99385092841787
22,1,22.137421875,98684,1009.8761945569375,28.1271781477379,53.14439063492732
23,1,22.0243359375,100030,1009.8681496863435,28.194338536707246,53.18028511366501
24,1,21.9221875,101412,1009.8668625857118,28.205083582440306,53.185917888630826
25,1,21.8221875,102397,1009.8709079670236,28.17131174046675,53.31234106506527
26,1,21.7231640625,102959,1009.8799807828843,28.09557003195245,53.362801653763356
27,1,21.6333203125,104554,1009.8826180897448,28.073553362286468,53.37640433401249
28,1,21.5430859375,105601,1009.8845498162962,28.057427022151693,53.40899735580585
29,1,21.4497265625,107007,1009.8861932315169,28.04370756748841,53.403117597484524
30,1,21.3540234375,107690,1009.8871828020897,28.035446505943437,53.460388130454476
