Time,Particles > 2.5um / 0.1L air,Temperature,Gas,Pressure,Altitude,Humidity
1,1,33.41359375,28514,647.0894081200802,3626.0679569594226,100
2,1,22.89171875,11576,1010.9116374127517,19.48668213597613,53.57423752343216
3,1,22.948359375,23257,1010.9097469756275,19.5024508014361,53.543599740323145
4,1,23.01203125,34615,1010.9113534900047,19.489050413598356,53.418525725683914
5,1,23.071015625,44035,1010.908329794995,19.514271917626317,53.286546159226155
6,1,23.1239453125,51348,1010.9068613502164,19.52652065713447,53.12845071916519
7,1,23.1690625,57823,1010.9107635967532,19.49397087696083,52.99481233892408
8,1,23.2065625,63335,1010.8999203901648,19.584417487290562,52.87293141418952
9,1,23.238984375,67979,1010.8923152429373,19.64785489063627,52.737780789263155
10,1,23.2675,72165,1010.8882509966891,19.681756460950947,52.61486743198709
11,1,23.291328125,75795,1010.886393189176,19.697253243763676,52.5230513655974
12,1,23.3118359375,79062,1010.8822626500187,19.73170795518435,52.418190129902214
13,1,23.331171875,82141,1010.8795353181557,19.754457936917053,52.332195334660284
14,1,23.3462109375,84782,1010.8796861677833,19.753199626603262,52.26463333255634
15,1,23.36046875,87417,1010.8819097665984,19.734651522062787,52.19067392648515
16,1,23.3723828125,89361,1010.8852387452339,19.706882975853635,52.13538174038947
17,1,23.3837109375,91493,1010.8858598080931,19.701702412292523,52.061087307799035
18,1,23.3938671875,93418,1010.8861809591549,19.69902354840893,52.02453673835189
19,1,23.403046875,95210,1010.8831260627636,19.72450582617381,51.968933430992415
20,1,23.411640625,95501,1010.8756580625751,19.78680006885599,51.93219564621245
21,1,23.4180859375,96983,1010.8883878381338,19.680615007685518,51.888876846299006
22,1,23.42375,98511,1010.8895499475606,19.6709213588489,51.83915977859008
23,1,23.4301953125,100030,1010.8852272230376,19.706979087678874,51.80216620768364
24,1,23.4364453125,101412,1010.8839806959436,19.71737693652368,51.75885067381587
25,1,23.4411328125,102646,1010.8834719905337,19.721620282457817,51.72164366044127
26,1,23.445234375,103655,1010.8870768552941,19.691550483788706,51.678066903831194
27,0,23.4493359375,105075,1010.8889763875981,19.67570566523227,51.64709884274449
28,0,23.4544140625,105999,1010.892546201851,19.645928369478543,51.61626242520324
29,0,23.4565625,107143,1010.8945156153229,19.629500714378434,51.60394441001047
30,0,23.458515625,108242,1010.8893296453502,19.67275899255653,51.56641241637942
